NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAREST_OPENSPACE,NEAREST_ROAD,Prevalence
43.871254,0.0685774,28.8138943,21.9325523,231.815570712905952,471.579206630448823,
39.3474617,0.0699577,22.156086,21.8945179,128.263547108067343,210.587656747212293,
44.3094559,0.0602544,40.2929039,23.9703789,0,601.804028270126651,
42.9831886,0.0741822,15.489809,19.6317081,0,474.096374666545842,
44.4843063,0.0673096,33.0812912,22.4909077,483.838088097822947,251.560605182980311,
80.3676376,0.0769752,13.5479517,24.9814339,0,14.917055572377615,
43.7752953,0.0664281,34.63097,22.9378204,0,571.128151337055328,
34.7598152,0.0744343,15.4946947,20.0026817,304.543752214809388,40.719840219648383,
,0.0760057,,20.5014191,164.029722195743801,34.840468724438459,
80.5870361,0.0770479,13.3348713,24.9665051,0,141.757361904699081,
41.5343971,0.0692414,25.6395378,21.9098663,811.564262143170595,335.184283474421420,
33.3759232,0.069607,14.5804024,19.3476067,0.088100655,108.236223822821131,
45.919384,0.0616253,31.0835037,22.8561764,0,605.482927677533098,
76.3704529,0.08047,13.3360434,23.8867702,0,68.895288224907063,
73.9140701,0.0782002,12.8801184,24.7927399,678.062156822296174,501.750469492336833,
45.184185,0.0599196,34.6456451,23.0006561,910.898863426192293,373.103415577755015,
,,,,0,955.004671187011127,
,0.0885782,13.3000002,27.2999992,0,31.408088768206628,
,0.0888714,,,0,178.744112554479159,
45.490345,0.059,37.6348877,25.6776485,0,2206.570711610669605,
44.8347244,0.0598427,37.5429764,23.5016747,162.518382228800078,3.041534365027504,
42.6507301,0.0693827,24.9680862,21.8604221,0,575.052698920522516,
,0.0759569,,20.5380497,0,109.280075239447143,
34.6476135,0.0703899,14.9531116,20.1807938,0,214.154781896430819,
45.223587,0.059,35.9775124,25.2236176,0,247.799958248521875,
45.2296219,0.059,35.8062477,25.1099033,0,692.945006079962809,
,0.088925,,,0,536.103637081262377,
34.5633049,0.0742892,15.2576952,20.375845,0,184.149184015199808,
44.0895004,0.0670264,33.5494461,22.6683922,0,325.103512900376302,
42.6435089,0.0644738,41.7633057,24.6520901,1529.257652474526139,163.925225375624677,
45.6418266,0.0693157,24.6592045,21.8208084,0,153.324825419908080,
41.2922478,0.067551,29.3779297,22.8442535,0,1436.033740396939265,
44.6037521,0.065665,36.6442909,23.079546,0,74.362161301671236,
35.2532196,0.073974,15.6115351,20.3892498,0,371.078992000275491,
77.0091934,0.0782593,12.7099247,24.9517212,308.453131864730949,182.231786984070055,
35.2532196,0.073974,15.6115351,20.3892498,75.354626520923674,176.949893821408182,
43.0114975,0.0684591,29.3474827,22.0125389,0,332.541701542390058,
46.250576,0.0688399,27.0207939,21.8676777,0,138.125527224222878,
50.8403625,0.0731119,15.0257025,21.1514874,588.866158931978362,241.073228558511630,
27.9476776,0.0674402,12.9315395,22.7833672,249.608697988874297,227.009532248624765,
44.96035,0.0597572,36.8358192,23.4292698,491.925609299791972,211.607978088200269,
47.78582,0.0686701,27.4758244,21.8678989,176.968421372984494,415.746552229702786,
39.1743431,0.0689895,24.5219822,22.3670826,9.282384180492089,348.407399523305173,
47.2256927,0.0652883,32.0955086,22.8241558,254.353860607977111,608.180195955601221,
